V1	I(D1)
4.890000000000000e-01	1.940481e-04
4.900000000000000e-01	1.978664e-04
4.910000000000000e-01	2.017598e-04
4.920000000000000e-01	2.057298e-04
4.930000000000000e-01	2.097779e-04
4.940000000000000e-01	2.139056e-04
4.950000000000000e-01	2.181145e-04
4.960000000000000e-01	2.224063e-04
4.970000000000000e-01	2.267825e-04
4.980000000000000e-01	2.312447e-04
4.990000000000000e-01	2.357948e-04
5.000000000000000e-01	2.404343e-04
5.010000000000000e-01	2.451651e-04
5.020000000000000e-01	2.499890e-04
5.030000000000000e-01	2.549078e-04
5.040000000000000e-01	2.599233e-04
5.050000000000000e-01	2.650375e-04
5.060000000000000e-01	2.702523e-04
5.070000000000000e-01	2.755697e-04
5.080000000000000e-01	2.809916e-04
5.090000000000000e-01	2.865203e-04
5.100000000000000e-01	2.921577e-04
5.110000000000000e-01	2.979059e-04
5.120000000000000e-01	3.037673e-04
5.130000000000000e-01	3.097439e-04
5.140000000000000e-01	3.158381e-04
5.150000000000000e-01	3.220522e-04
5.160000000000000e-01	3.283885e-04
5.170000000000000e-01	3.348494e-04
5.180000000000000e-01	3.414374e-04
5.190000000000000e-01	3.481550e-04
5.200000000000000e-01	3.550047e-04
5.210000000000000e-01	3.619891e-04
5.220000000000000e-01	3.691110e-04
5.230000000000000e-01	3.763729e-04
5.240000000000000e-01	3.837776e-04
5.250000000000000e-01	3.913279e-04
5.260000000000000e-01	3.990268e-04
5.270000000000000e-01	4.068771e-04
5.280000000000000e-01	4.148817e-04
5.290000000000000e-01	4.230438e-04
5.300000000000000e-01	4.313665e-04
5.310000000000000e-01	4.398528e-04
5.320000000000000e-01	4.485059e-04
5.330000000000000e-01	4.573293e-04
5.340000000000000e-01	4.663262e-04
5.350000000000000e-01	4.755001e-04
5.360000000000000e-01	4.848543e-04
5.370000000000000e-01	4.943925e-04
5.380000000000000e-01	5.041183e-04
5.390000000000000e-01	5.140353e-04
5.400000000000000e-01	5.241473e-04
5.410000000000000e-01	5.344582e-04
5.420000000000000e-01	5.449718e-04
5.430000000000000e-01	5.556922e-04
5.440000000000000e-01	5.666233e-04
5.450000000000000e-01	5.777695e-04
5.460000000000000e-01	5.891348e-04
5.470000000000000e-01	6.007235e-04
5.480000000000000e-01	6.125401e-04
5.490000000000000e-01	6.245890e-04
5.500000000000000e-01	6.368749e-04
5.510000000000000e-01	6.494023e-04
5.520000000000000e-01	6.621760e-04
5.530000000000000e-01	6.752008e-04
5.540000000000000e-01	6.884817e-04
5.550000000000000e-01	7.020238e-04
5.560000000000000e-01	7.158321e-04
5.570000000000001e-01	7.299117e-04
5.580000000000001e-01	7.442682e-04
5.590000000000001e-01	7.589070e-04
5.600000000000001e-01	7.738335e-04
5.610000000000001e-01	7.890534e-04
5.620000000000001e-01	8.045725e-04
5.630000000000001e-01	8.203966e-04
5.640000000000001e-01	8.365319e-04
5.650000000000001e-01	8.529843e-04
5.660000000000001e-01	8.697600e-04
5.670000000000001e-01	8.868655e-04
5.680000000000001e-01	9.043072e-04
5.690000000000001e-01	9.220917e-04
5.700000000000001e-01	9.402257e-04
5.710000000000001e-01	9.587161e-04
5.720000000000001e-01	9.775698e-04
5.730000000000001e-01	9.967942e-04
5.740000000000001e-01	1.016396e-03
5.750000000000001e-01	1.036384e-03
5.760000000000001e-01	1.056764e-03
5.770000000000000e-01	1.077544e-03
5.780000000000000e-01	1.098733e-03
5.790000000000000e-01	1.120338e-03
5.800000000000000e-01	1.142368e-03
5.810000000000000e-01	1.164831e-03
5.820000000000000e-01	1.187735e-03
5.830000000000000e-01	1.211089e-03
5.840000000000000e-01	1.234901e-03
5.850000000000000e-01	1.259182e-03
5.860000000000000e-01	1.283939e-03
5.870000000000000e-01	1.309183e-03
5.880000000000000e-01	1.334923e-03
5.890000000000000e-01	1.361168e-03
5.900000000000000e-01	1.387929e-03
5.910000000000000e-01	1.415216e-03
5.920000000000000e-01	1.443038e-03
5.930000000000000e-01	1.471407e-03
5.940000000000000e-01	1.500333e-03
5.950000000000000e-01	1.529827e-03
5.960000000000000e-01	1.559900e-03
5.970000000000000e-01	1.590564e-03
5.980000000000000e-01	1.621830e-03
5.990000000000000e-01	1.653710e-03
6.000000000000000e-01	1.686216e-03
6.010000000000000e-01	1.719360e-03
6.020000000000000e-01	1.753155e-03
6.030000000000000e-01	1.787613e-03
6.040000000000000e-01	1.822747e-03
6.050000000000000e-01	1.858572e-03
6.060000000000000e-01	1.895099e-03
6.070000000000000e-01	1.932344e-03
6.080000000000000e-01	1.970319e-03
6.090000000000000e-01	2.009040e-03
6.100000000000000e-01	2.048521e-03
6.110000000000000e-01	2.088776e-03
6.120000000000000e-01	2.129822e-03
